id	gene
636	LOC100130700
637	TMEM174
638	MIR4777
639	MIR4644
640	FMO9P
641	TTTY12
642	REG1A
643	SNORA11B
644	HOXA9
645	ZCCHC5
646	MS4A12
647	LRRC37A5P
648	PITX3
649	ITLN2
650	CLDN8
651	OR10C1
652	VAV3-AS1
653	LRRC3C
654	DEFB121
655	C8orf87
656	PRL
657	CDRT7
658	KRTAP19-1
659	TIFAB
660	OR1S1
661	PRDM13
662	CCL23
663	RNASE2
664	TAAR8
665	MIR103A2
666	SLAMF1
667	C1orf64
668	PF4V1
669	SNORD113-7
670	IFNA21
671	PNLIPRP3
672	LOC388813
673	PGLYRP2
674	MIR4307
675	MIR1179
676	ARHGEF38-IT1
677	TEX13A
678	SDC4P
679	SNORD61
680	MIR3913-2
681	TRIML2
682	OR6S1
683	ARL14EPL
684	OR6B3
685	ZFX-AS1
686	TARM1
687	SCGN
688	MIR3198-1
689	UGT1A5
690	MIR4761
691	C9orf92
692	CCL15
693	MIR4524B
694	FAM3D
695	MIOX
696	MIR194-1
697	SLC2A7
698	MAGEA12
699	MIR337
700	PRM3
701	SNORD18A
702	OR4X2
703	MPC1L
704	PTF1A
705	NMRK2
706	MIR384
707	CETN1
708	LINC00333
709	CD300LD
710	MIR4741
711	SPANXN1
712	MIR612
713	CRLF2
714	KIR3DL2
715	CGB8
716	PDX1
717	ECSCR
718	TTLL10
719	MIR4305
720	MIR9-1
721	WBSCR28
722	MIR744
723	RESP18
724	C9orf173
725	CALML3
726	MIR3620
727	NKG7
728	APOC3
729	MIR4730
730	MIR2681
731	KRTAP27-1
732	LOC643441
733	MIR4798
734	TEX36
735	MIR4751
736	SERPINA7
737	SNORD105
738	KRTAP19-4
739	SIX6
740	KLK11
741	LCE2C
742	TMEM252
743	GSTA3
744	PRSS56
745	TPPP2
746	SNORD105B
747	MIR618
748	DSCR4
749	SNORD18C
750	MIR4295
751	OR4P4
752	MBD3L2
753	BHLHE22
754	IFNA7
755	BARX1
756	CLEC4M
757	POU4F3
758	IL22RA1
759	SUPT20HL2
760	UGT1A9
761	LOC285768
762	C6orf222
763	AMN
764	C11orf21
765	TEX13B
766	STOML3
767	KIR3DL3
768	C6orf7
769	ATXN3L
770	VN1R4
771	AKAP4
772	MAGEA1
773	C1orf200
774	DCSTAMP
775	SOHLH1
776	OR1Q1
777	WNT8A
778	GTSF1
779	OR5AC2
780	OR8K3
781	FEZF2
782	LOC344887
783	FLJ40288
784	LHX5
785	KRT32
786	PPBP
787	HS3ST2
788	PP12613
789	OR7C2
790	CLEC4F
791	FGF6
792	OR5T2
793	HBA2
794	HBA1
795	SERPINA12
796	SNORD108
797	OR10S1
798	PIWIL1
799	IRG1
800	HOXB7
801	KRT77
802	REG1P
803	OR4K1
804	OR7C1
805	GFRA4
806	KRTAP5-11
807	OR56B1
808	MIR1307
809	CNR2
810	LOC100287834
811	DLX2
812	PSORS1C2
813	OR4C6
814	LOC401109
815	MAGEB18
816	SERPINB3
817	KRT25
818	FOXQ1
819	MRGPRD
820	LOC339822
821	ST8SIA6
822	TRIM10
823	APOA5
824	BOD1L2
825	RLN3
826	ZG16B
827	OR5J2
828	C19orf59
829	OR8H1
830	TNNT3
831	FRMD1
832	TBPL2
833	KISS1
834	GALP
835	INSL5
836	CRH
837	RBBP8NL
838	SEMA3G
839	COLEC10
840	GPIHBP1
841	LOC286135
842	LOC100507362
843	CRYBA4
844	FAM26D
845	DNAJB8-AS1
846	UPK3A
847	C7orf34
848	HTR3D
849	TWIST2
850	OR2T35
851	LIPM
852	LOC388948
853	IFITM5
854	OR6C3
855	LY86
856	CLEC1B
857	OR8A1
858	FAM83F
859	CARD17
860	C16orf11
861	DKFZp434L192
862	TAAR5
863	OR52N2
864	PRSS1
865	LOC731779
866	OR9G1
867	OR9G9
868	LOC149950
869	MAS1L
870	LOC284080
871	CSN3
872	LOC340073
873	OR6N1
874	TBC1D21
875	OR2AP1
876	OR1G1
877	KRT83
878	LOC339568
879	USP17L18
880	GABRR3
881	WNT1
882	CLEC9A
883	VN1R10P
884	SLC17A2
885	CCDC155
886	EMCN-IT3
887	AWAT1
888	CPLX4
889	KRTAP4-7
890	ACTL9
891	MMP10
892	FHL5
893	AKR1C4
894	OR11H6
895	P2RY10
896	PRSS58
897	LOC730441
898	TSPAN16
899	OR6C76
900	PRDM9
901	SPNS3
902	MIR941-3
903	KRT76
904	PRAMEF21
905	DEFB129
906	PNLIPRP2
907	RTP2
908	ACSM2B
909	IL21
910	TMEM95
911	GCG
912	OR5B17
913	TMCO5B
914	SLC6A18
915	OR1L1
916	LINC00460
917	KRTAP5-6
918	LINC00308
919	CD200R1L
920	OR9I1
921	VSTM1
922	OR51D1
923	IL3
924	LOC100422737
925	OR9A4
926	CDC42EP5
927	NEUROG1
928	OR8U1
929	CLEC6A
930	SERPINB11
931	LOC201651
932	POU3F3
933	RAB19
934	OR2G3
935	IQCF2
936	GUCY2EP
937	GRXCR1
938	FOXI1
939	DEFB114
940	LOC284661
941	LOC442497
942	SMCR9
943	DEFB107A
944	DEFB107B
945	RNASE12
946	OR4F6
947	CXorf61
948	LINC00658
949	TRAT1
950	PRAMEF18
951	PRAMEF19
952	CCL19
953	CBLC
954	WFDC13
955	PITX2
956	RHOXF2B
957	LOC643037
958	LY6G6E
959	MAGEB4
960	KRT34
961	VAV1
