source	target	weight
OR4E2	OR56B4	1
OR4K13	OR56B4	1
OR6Y1	OR56B4	1
PCGEM1	OR56B4	1
AA06	OR56B4	1
KRTAP3-1	OR56B4	1
MIR378C	OR56B4	1
NR0B2	OR56B4	1
OR2Y1	OR56B4	1
OR3A3	OR56B4	1
SERPINA5	OR56B4	1
FEZF1-AS1	OR56B4	1
FLJ46300	OR56B4	1
LILRB5	OR56B4	1
HS3ST6	OR56B4	1
OR6C65	OR56B4	1
GJA10	OR56B4	1
MSC	OR56B4	1
PAX2	OR56B4	1
NKX3-2	OR56B4	1
GTSF1L	OR56B4	1
ALPPL2	MAGEA2	1
C10orf91	MAGEA2	1
CD300C	MAGEA2	1
HLA-DQA2	MAGEA2	1
MIR663B	MAGEA2	1
MOGAT2	MAGEA2	1
OR4E2	MAGEA2	1
OR4K13	MAGEA2	1
OR6Y1	MAGEA2	1
PCGEM1	MAGEA2	1
AA06	MAGEA2	1
KRTAP3-1	MAGEA2	1
MIR378C	MAGEA2	1
NR0B2	MAGEA2	1
OR2Y1	MAGEA2	1
OR3A3	MAGEA2	1
SERPINA5	MAGEA2	1
FEZF1-AS1	MAGEA2	1
FLJ46300	MAGEA2	1
LILRB5	MAGEA2	1
HS3ST6	MAGEA2	1
OR6C65	MAGEA2	1
GJA10	MAGEA2	1
MSC	MAGEA2	1
PAX2	MAGEA2	1
NKX3-2	MAGEA2	1
GTSF1L	MAGEA2	1
OR56B4	MAGEA2	1
ALPPL2	C15orf53	1
C10orf91	C15orf53	1
CD300C	C15orf53	1
HLA-DQA2	C15orf53	1
MIR663B	C15orf53	1
MOGAT2	C15orf53	1
OR4E2	C15orf53	1
OR4K13	C15orf53	1
OR6Y1	C15orf53	1
PCGEM1	C15orf53	1
AA06	C15orf53	1
KRTAP3-1	C15orf53	1
MIR378C	C15orf53	1
NR0B2	C15orf53	1
OR2Y1	C15orf53	1
OR3A3	C15orf53	1
SERPINA5	C15orf53	1
FEZF1-AS1	C15orf53	1
FLJ46300	C15orf53	1
LILRB5	C15orf53	1
HS3ST6	C15orf53	1
OR6C65	C15orf53	1
GJA10	C15orf53	1
MSC	C15orf53	1
PAX2	C15orf53	1
NKX3-2	C15orf53	1
GTSF1L	C15orf53	1
OR56B4	C15orf53	1
MAGEA2	C15orf53	1
MIR3907	SMEK3P	0.908849971030965
SNORD114-20	SMEK3P	0.908849971030965
GPR101	SMEK3P	0.870183713229871
MIR181B2	UGT1A3	1
RAB9BP1	UGT1A3	1
KRT85	AMY1C	0.9063406303398
LOC286442	AMY1C	0.9063406303398
LINC00332	AMY1C	0.9063406303398
MIR190A	AMY1C	0.9063406303398
DSCR10	SNORD116-8	1
MB	OR5B3	1
KRTAP11-1	OR5B3	1
MIR514A1	OR5B3	1
SERPINB12	OR5B3	1
SPDYE4	OR5B3	1
HNF1B	OR5B3	0.954468430399774
LYZL4	OR5B3	1
FATE1	OR5B3	1
LINC00619	OTOP3	1
LOC100507334	C17orf105	1
CCDC166	C17orf105	1
MB	PRAMEF5	1
KRTAP11-1	PRAMEF5	1
MIR514A1	PRAMEF5	1
SERPINB12	PRAMEF5	1
SPDYE4	PRAMEF5	1
HNF1B	PRAMEF5	0.954468430399774
LYZL4	PRAMEF5	1
FATE1	PRAMEF5	1
OR5B3	PRAMEF5	1
ALPPL2	KRT16P3	1
C10orf91	KRT16P3	1
CD300C	KRT16P3	1
HLA-DQA2	KRT16P3	1
MIR663B	KRT16P3	1
MOGAT2	KRT16P3	1
OR4E2	KRT16P3	1
OR4K13	KRT16P3	1
OR6Y1	KRT16P3	1
PCGEM1	KRT16P3	1
AA06	KRT16P3	1
KRTAP3-1	KRT16P3	1
MIR378C	KRT16P3	1
NR0B2	KRT16P3	1
OR2Y1	KRT16P3	1
OR3A3	KRT16P3	1
SERPINA5	KRT16P3	1
FEZF1-AS1	KRT16P3	1
FLJ46300	KRT16P3	1
LILRB5	KRT16P3	1
HS3ST6	KRT16P3	1
OR6C65	KRT16P3	1
GJA10	KRT16P3	1
MSC	KRT16P3	1
PAX2	KRT16P3	1
NKX3-2	KRT16P3	1
GTSF1L	KRT16P3	1
OR56B4	KRT16P3	1
MAGEA2	KRT16P3	1
C15orf53	KRT16P3	1
OR5E1P	C20orf78	1
MIR2467	HOXC9	1
PRG1	HOXC9	1
DEFA1	DEFA1B	1
TREML5P	KRTAP10-5	1
ALPPL2	OR2C3	1
C10orf91	OR2C3	1
CD300C	OR2C3	1
HLA-DQA2	OR2C3	1
MIR663B	OR2C3	1
MOGAT2	OR2C3	1
OR4E2	OR2C3	1
OR4K13	OR2C3	1
OR6Y1	OR2C3	1
PCGEM1	OR2C3	1
AA06	OR2C3	1
KRTAP3-1	OR2C3	1
MIR378C	OR2C3	1
NR0B2	OR2C3	1
OR2Y1	OR2C3	1
OR3A3	OR2C3	1
SERPINA5	OR2C3	1
FEZF1-AS1	OR2C3	1
FLJ46300	OR2C3	1
LILRB5	OR2C3	1
HS3ST6	OR2C3	1
OR6C65	OR2C3	1
GJA10	OR2C3	1
MSC	OR2C3	1
PAX2	OR2C3	1
NKX3-2	OR2C3	1
GTSF1L	OR2C3	1
OR56B4	OR2C3	1
MAGEA2	OR2C3	1
C15orf53	OR2C3	1
KRT16P3	OR2C3	1
KRT85	TPRX1	1
LOC286442	TPRX1	1
LINC00332	TPRX1	1
MIR190A	TPRX1	1
AMY1C	TPRX1	0.9063406303398
MIR3668	DNMT3L	1
OR13F1	DNMT3L	1
KRTAP10-10	KRTAP4-6	0.877498715136949
TREML5P	GKN1	0.874980401972971
KRTAP10-5	GKN1	0.874980401972971
OR5T1	KRTAP12-4	0.874217590568724
MIR4271	LOC388553	1
MYF6	LOC388553	1
MIR3907	HHEX	1
SNORD114-20	HHEX	1
GPR101	HHEX	0.957672778417782
SMEK3P	HHEX	0.908849971030965
MB	SPINK1	1
KRTAP11-1	SPINK1	1
MIR514A1	SPINK1	1
SERPINB12	SPINK1	1
SPDYE4	SPINK1	1
HNF1B	SPINK1	0.954468430399774
LYZL4	SPINK1	1
FATE1	SPINK1	1
OR5B3	SPINK1	1
PRAMEF5	SPINK1	1
MIR3123	OR2F1	1
ALPPL2	MNX1	1
C10orf91	MNX1	1
CD300C	MNX1	1
HLA-DQA2	MNX1	1
MIR663B	MNX1	1
MOGAT2	MNX1	1
OR4E2	MNX1	1
OR4K13	MNX1	1
OR6Y1	MNX1	1
PCGEM1	MNX1	1
AA06	MNX1	1
KRTAP3-1	MNX1	1
MIR378C	MNX1	1
NR0B2	MNX1	1
OR2Y1	MNX1	1
OR3A3	MNX1	1
SERPINA5	MNX1	1
FEZF1-AS1	MNX1	1
FLJ46300	MNX1	1
LILRB5	MNX1	1
HS3ST6	MNX1	1
OR6C65	MNX1	1
GJA10	MNX1	1
MSC	MNX1	1
PAX2	MNX1	1
NKX3-2	MNX1	1
GTSF1L	MNX1	1
OR56B4	MNX1	1
MAGEA2	MNX1	1
C15orf53	MNX1	1
KRT16P3	MNX1	1
OR2C3	MNX1	1
LCE3C	SPRR2G	1
ALPPL2	OR6C74	1
C10orf91	OR6C74	1
CD300C	OR6C74	1
HLA-DQA2	OR6C74	1
MIR663B	OR6C74	1
MOGAT2	OR6C74	1
OR4E2	OR6C74	1
OR4K13	OR6C74	1
OR6Y1	OR6C74	1
PCGEM1	OR6C74	1
AA06	OR6C74	1
KRTAP3-1	OR6C74	1
MIR378C	OR6C74	1
NR0B2	OR6C74	1
OR2Y1	OR6C74	1
OR3A3	OR6C74	1
SERPINA5	OR6C74	1
FEZF1-AS1	OR6C74	1
FLJ46300	OR6C74	1
LILRB5	OR6C74	1
HS3ST6	OR6C74	1
OR6C65	OR6C74	1
GJA10	OR6C74	1
MSC	OR6C74	1
PAX2	OR6C74	1
NKX3-2	OR6C74	1
GTSF1L	OR6C74	1
OR56B4	OR6C74	1
MAGEA2	OR6C74	1
C15orf53	OR6C74	1
KRT16P3	OR6C74	1
OR2C3	OR6C74	1
MNX1	OR6C74	1
OR4D9	HSD17B2	0.863031685056196
FAM197Y2	BSND	1
FAM197Y5	BSND	1
MIR877	CD1B	1
TREML5P	TEX37	1
KRTAP10-5	TEX37	1
GKN1	TEX37	0.874980401972971
KRT85	FLJ41350	1
LOC286442	FLJ41350	1
LINC00332	FLJ41350	1
MIR190A	FLJ41350	1
AMY1C	FLJ41350	0.9063406303398
TPRX1	FLJ41350	1
ALPPL2	UBASH3A	1
C10orf91	UBASH3A	1
CD300C	UBASH3A	1
HLA-DQA2	UBASH3A	1
MIR663B	UBASH3A	1
MOGAT2	UBASH3A	1
OR4E2	UBASH3A	1
