id	gene
180	FLJ41350
181	FMO9P
182	FOLR4
183	FOXI3
184	FOXN1
185	FTMT
186	GAGE2C
187	GAGE7
188	GCNT3
189	GDF3
190	GH1
191	GH2
192	GIMD1
193	GIP
194	GJA10
195	GKN1
196	GKN2
197	GNGT1
198	GNGT2
199	GOT1L1
200	GP9
201	GPHB5
202	GPR101
203	GPR141
204	GPR33
205	GPR50
206	GPRC5D
207	GRP
208	GSTA3
209	GSTA5
210	GTSF1L
211	GUCA2A
212	GZMK
213	H2AFB1
214	H2AFB2
215	H2AFB3
216	HAND1
217	HAND2
218	HAO1
219	HBA1
220	HBA2
221	HBBP1
222	HBD
223	HBM
224	HES3
225	HHEX
226	HLA-DQA2
227	HNF1B
228	HNF4A
229	HOXA10-HOXA9
230	HOXB-AS3
231	HOXB-AS5
232	HOXB13
233	HOXB7
234	HOXB8
235	HOXC13
236	HOXC6
237	HS3ST4
238	HS3ST6
239	HSD17B2
240	HSFY1P1
241	HTN3
242	HTR1B
243	HTR3D
244	IBSP
245	IFNA14
246	IFNA21
247	IFNA22P
248	IFNA7
249	IFNB1
250	IGSF23
251	IL17F
252	IL1F10
253	IL21
254	IL22
255	IL22RA1
256	IL3
257	IL36G
258	ITLN2
259	KCNAB1-AS2
260	KCNMB2-IT1
261	KIF2B
262	KIR3DL2
263	KLK11
264	KLK12
265	KLK8
266	KLK9
267	KLKP1
268	KNCN
269	KRT16P1
270	KRT16P3
271	KRT25
272	KRT28
273	KRT32
274	KRT36
275	KRT39
276	KRT40
277	KRT71
278	KRT74
279	KRT78
280	KRT79
281	KRT83
282	KRT85
283	KRT9
284	KRTAP1-4
285	KRTAP10-10
286	KRTAP10-3
287	KRTAP10-4
288	KRTAP10-5
289	KRTAP10-6
290	KRTAP10-7
291	KRTAP11-1
292	KRTAP12-1
293	KRTAP12-2
294	KRTAP19-1
295	KRTAP19-4
296	KRTAP19-8
297	KRTAP2-2
298	KRTAP21-2
299	KRTAP27-1
300	KRTAP29-1
301	KRTAP3-1
302	KRTAP3-3
303	KRTAP4-11
304	KRTAP4-2
305	KRTAP4-4
306	KRTAP4-5
307	KRTAP4-6
308	KRTAP4-7
309	KRTAP4-8
310	KRTAP5-3
311	KRTAP6-3
312	KRTAP8-1
313	KRTAP9-1
314	KRTAP9-9
315	LACRT
316	LCE1F
317	LCE2C
318	LCE2D
319	LCE3C
320	LCE3D
321	LCN1
322	LCN8
323	LCN9
324	LILRB5
325	LINC00029
326	LINC00111
327	LINC00112
328	LINC00162
329	LINC00207
330	LINC00208
331	LINC00229
332	LINC00239
333	LINC00254
334	LINC00332
335	LINC00347
336	LINC00359
337	LINC00424
338	LINC00442
339	LINC00474
340	LINC00489
341	LINC00499
342	LINC00563
343	LINC00619
344	LINC00651
345	LINC00659
346	LIPM
347	LMX1A
348	LOC100093698
349	LOC100130480
350	LOC100131047
351	LOC100286922
352	LOC100287534
353	LOC100287704
354	LOC100287834
355	LOC100505622
356	LOC100507003
357	LOC100507205
358	LOC100507334
359	LOC100507362
360	LOC100507632
361	LOC149950
362	LOC150185
363	LOC154872
364	LOC158376
365	LOC1720
366	LOC254099
367	LOC257358
368	LOC283403
369	LOC284080
370	LOC284661
371	LOC285084
372	LOC285548
373	LOC286135
374	LOC286238
375	LOC286442
376	LOC339568
377	LOC339822
378	LOC340074
379	LOC340094
380	LOC344887
381	LOC388553
382	LOC388813
383	LOC400620
384	LOC440117
