source	target	weight
MAGEB5	CCL8	1
MGC27382	CCL8	1
LOC154872	CCL8	1
MIR502	GLT6D1	1
IL1F10	GLT6D1	1
KRTAP2-4	GLT6D1	1
CEACAM16	MIR548AA2	1
UGT2B17	BTG4	1
ACTN1-AS1	KRTAP10-3	1
KRTAP10-4	KRTAP10-3	1
MIR3666	KRTAP10-3	1
KRTAP10-5	KRTAP10-3	1
KRTAP10-7	KRTAP10-3	1
CAPN11	COX7B2	0.868828502561738
OTOL1	COX7B2	1
SHH	COX7B2	1
TMEM114	PAX4	1
IL9	GNGT2	1
MIR3155A	CABP2	1
FGF22	CASP12	1
LACRT	CASP12	0.817708060869208
HOXB8	ACTRT2	1
RTP3	CELA3B	1
OR56B4	CELA3B	1
MIR502	OR10G2	1
IL1F10	OR10G2	1
KRTAP2-4	OR10G2	1
GLT6D1	OR10G2	1
HOXB8	LOC646268	0.77999942486983
ACTRT2	LOC646268	0.77999942486983
LINC00499	STMND1	1
MIR18A	MIR563	1
HS3ST6	MIR563	1
MIR502	GKN2	1
IL1F10	GKN2	1
KRTAP2-4	GKN2	1
GLT6D1	GKN2	1
OR10G2	GKN2	1
MIR216A	SPINK14	1
NAALADL2-AS3	SPINK14	1
MBD3L4	MBD3L5	1
SPANXA2	SBK2	1
SPANXA2	SNORD116-1	1
SBK2	SNORD116-1	1
KRTAP4-12	MIR4657	1
C2CD4B	MIR4657	1
GSC	MIR423	1
MIR18A	TMEM174	1
HS3ST6	TMEM174	1
MIR563	TMEM174	1
BDKRB1	MIR4777	1
SNORD121A	ITLN2	1
OR5B3	ITLN2	1
SERPINA9	SYNPR-AS1	1
MIR548J	SYNPR-AS1	1
REG1B	SYNPR-AS1	1
MAGEB5	SYNPR-AS1	1
MGC27382	SYNPR-AS1	1
LOC154872	SYNPR-AS1	1
CCL8	SYNPR-AS1	1
LCN15	TIFAB	1
GDF3	OR1S1	1
LOC158376	OR1S1	1
MIR553	OR1S1	1
SOCS2-AS1	CCL23	1
HTN3	SLAMF1	1
SLC17A9	SLAMF1	0.946080725378325
HOXB-AS5	GUCA2A	1
MIR211	GUCA2A	1
OR51G2	GUCA2A	1
MIR642B	GUCA2A	1
SULT6B1	GUCA2A	1
OR56A3	GUCA2A	1
PDE6H	IFNA21	1
HOXB-AS3	ARHGEF38-IT1	1
MIR105-2	TEX13A	1
BHLHA9	TEX13A	1
FGF22	DCD	0.741584160925547
LACRT	DCD	0.992568514478785
CASP12	DCD	0.741584160925547
SERPINA9	GPR141	1
MIR548J	GPR141	1
REG1B	GPR141	1
MAGEB5	GPR141	1
MGC27382	GPR141	1
LOC154872	GPR141	1
CCL8	GPR141	1
SYNPR-AS1	GPR141	1
TRIML2	UGT1A5	1
C22orf42	MIR4524B	1
MSMB	LINC00029	1
BSPH1	LINC00029	1
OR5D13	LINC00029	1
DEFB121	SPANXN1	1
MIR3125	MIR612	1
MIR100	MIR221	1
OR2C3	MIR221	1
MIR18A	CGB8	1
HS3ST6	CGB8	1
MIR563	CGB8	1
TMEM174	CGB8	1
SERPINA9	MIR4305	1
MIR548J	MIR4305	1
REG1B	MIR4305	1
MAGEB5	MIR4305	1
MGC27382	MIR4305	1
LOC154872	MIR4305	1
CCL8	MIR4305	1
SYNPR-AS1	MIR4305	1
GPR141	MIR4305	1
ACTN1-AS1	SNORD91B	1
KRTAP10-4	SNORD91B	1
MIR3666	SNORD91B	1
KRTAP10-5	SNORD91B	1
KRTAP10-7	SNORD91B	1
KRTAP10-3	SNORD91B	1
ATP6V0CP3	ASGR2	0.71080688925615
MIR627	ASGR2	0.70179883446241
OR9Q2	ASGR2	0.70179883446241
MIR3660	ASGR2	0.71080688925615
SERPINA9	GSTA3	1
MIR548J	GSTA3	1
REG1B	GSTA3	1
MAGEB5	GSTA3	1
MGC27382	GSTA3	1
LOC154872	GSTA3	1
CCL8	GSTA3	1
SYNPR-AS1	GSTA3	1
GPR141	GSTA3	1
MIR4305	GSTA3	1
GDF3	MIR4295	1
LOC158376	MIR4295	1
MIR553	MIR4295	1
OR1S1	MIR4295	1
MBD3L4	MBD3L2	1
MBD3L5	MBD3L2	1
C16orf78	IL22RA1	1
C1orf68	IL22RA1	1
TCP10	UGT1A9	1
HOXD12	UGT1A9	0.805900021859502
HOXB-AS5	C6orf222	1
MIR211	C6orf222	1
OR51G2	C6orf222	1
MIR642B	C6orf222	1
SULT6B1	C6orf222	1
OR56A3	C6orf222	1
GUCA2A	C6orf222	1
